group_code,group_name,group_descreption
101,Physics/Chemistry/Statistics/Mathematics,"Physics, Chemistry, Statistics, Mathematics"
102,Physics/Chemistry/Comp.Science/Mathematics,"Physics, Chemistry, Com. Science, Mathematics"
103,Physics/Chemistry/Biology/Mathematics,"Physics, Chemistry, Biology, Mathematics"
104,Physics/Chemistry/Bio-Chemistry/Mathematics,"Physics, Chemistry, Bio-Chemistry, Mathematics"
105,Physics/Chemistry/Eng.For Comn/Mathematics,"Physics, Chemistry, Communicative English, Mathematics"
106,Physics/Chemistry/Mathematics/Home Science,"Physics, Chemistry, Mathematics, Home Science"
201,Physics/Chemistry/Biology/Comp.Science,"Physics, Chemistry, Biology, Com. Science"
202,Physics/Chemistry/Biology/Micro-Biology,"Physics, Chemistry, Biology, Micro-Biology"
203,Physics/Chemistry/Biology/Bio-Chemistry,"Physics, Chemistry, Biology, Bio-Chemistry"
204,Physics/Chemistry/Biology/Nursing,"Physics, Chemistry, Biology, Nursing"
205,Physics/Chemistry/Biology/Nutri.&Dietics,"Physics, Chemistry, Biology, Nutrition & Dietics"
206,Physics/Chemistry/Biology/Eng.For Comn,"Physics, Chemistry, Biology, Communicative English"
207,Physics/Chemistry/Biology/Home Science,"Physics, Chemistry, Biology, Home Science"
208,Physics/Chemistry/Botany/Zoology,"Physics, Chemistry, Botany, Zoology"
209,Physics/Chemistry/Biology/Siddha,"Physics, Chemistry, Biology, Siddha"
301,Statistics/Economics/Commerce/Accountancy,"Statistics, Economics, Commerce, Accountancy"
302,Comp.Sci/Economics/Commerce/Accountancy,"Com. Sci., Economics, Commerce, Accountancy"
303,Eng.For Comn/ Economics/ Commerce/ Accountancy,"Communicative English, Economics, Commerce, Accountancy"
304,History/Economics/Commerce/Accountancy,"History, Economics, Commerce, Accountancy"
305,Economics/Pol.Science/Commerce/Accountancy,"Economics, Political Science, Commerce, Accountancy"
306,Economics/Commerce/Accountancy/E.&I Culture,"Economics, Commerce, Accountancy, Indian Culture"
307,Economics/Commerce/Accountancy/Adv.Lang,"Economics, Commerce, Accountancy, Advanced Language"
308,Economics/Commerce/Accountancy/Busi.Maths,"Economics, Commerce, Accountancy, Business Maths"
401,Statistics/Geography/History/Economics,"Statistics, Geography, History, Economics"
402,Comp.Sci/Geography/History/Economics,"Com. Science, Geography, History, Economics"
403,Geography/Eng.For Comn/History/Economics,"Geography, Communicative English, History, Economics"
404,Geography/History/Economics/Pol.Science,"Geography, History, Economics, Political Science"
405,Geography/History/Economics/E.&I Culture,"Geography, History, Economics, Indian Culture"
406,Geography/History/Economics/Adv.Language,"Geography, History, Economics, Advanced Language"
701,Agricultural Chemicals,"Chemistry, Agricultural Chemicals, Practical I, Practical II"
702,Agro Based Industries,"Physics, Mathematics, Theory, Practical"
703,Crop Production,"Biology, Theory, Practical I, Practical II"
704,Dairying,"Biology, Theory, Practical I, Practical II"
705,Floriculture And Medicinal Plants,"Biology, Theory, Practical I, Practical II"
706,Farm Mechanics And Post Harvest Tech,"Physics, Mathematics, Theory, Practical"
707,Poultry,"Biology, Theory, Practical I, Practical II"
708,Plant Protection,"Biology, Theory, Practical I, Practical II"
709,Sericulture And Apiculture,"Biology, Theory, Practical I, Practical II"
710,Soil Conservation And Rural Constn Tech.,"Physics, Mathematics, Theory, Practical"
711,Small Farm Management,"Economics, Theory, Practical I, Practical II"
712,Spices And Plantation Crops,"Biology, Theory, Practical I, Practical II"
713,Vegetables And Fruits,"Biology, Theory, Practical I, Practical II"
715,Composing & Printing Technology With Chemistry,"Chemistry, Theory, Practical I, Practical II"
716,Baking And Confectionery,"Chemistry, Theory, Practical I, Practical II"
717,Catering With Mathematics,"Chemistry, Mathematics, Theory, Practical"
718,Catering With Biology,"Chemistry, Biology, Theory, Practical"
719,Child Care And Nutrition With Chemistry,"Chemistry, Psychology, Theory, Practical"
720,Child Care And Nutrition With Home Science,"Home Science, Psychology, Theory, Practical"
721,Designing Dyeing And Printing With Chemistry,"Chemistry, Theory, Practical I, Practical II"
722,Designing Dyeing And Printing With Drawing,"Drawing And Painting, Theory, Practical I, Practical II"
723,Designing Dyeing And Printing With Home Science,"Home Science, Theory, Practical I, Practical II"
724,Dress Designing And Making With Chemistry,"Chemistry, Theory, Practical I, Practical II"
725,Dress Designing And Making With Home Science,"Home Science, Theory, Practical I, Practical II"
726,Dietetics Nutrition And Food Preparation,"Chemistry, Biology, Theory, Practical"
727,Food Preservation With Biology,"Chemistry, Biology, Theory, Practical"
728,Food Preservation,"Chemistry, Mathematics, Theory, Practical"
729,Physiotherapy,"Physics, Foundation Science, Theory, Practical"
731,Textile And Designs,"Chemistry, Theory, Practical I, Practical II"
732,Textile And Designs,"Home Science, Theory, Practical I, Practical II"
733,Food Preservation With Zoology,"Chemistry, Zoology, Theory, Practical"
734,Dental Hygienists With Chemistry,"Chemistry, Foundation Science, Theory, Practical"
735,Child Care And Nutrition With Biology,"Biology, Psychology, Theory, Practical"
